time,EAR
02:52:490473,0
02:52:490473,0
02:52:490473,0
02:52:490473,0
02:53:695492,0
02:53:695492,0
02:53:695492,0
02:53:695492,0
02:53:695492,0
02:53:695492,0
02:53:695492,0
02:53:695492,0
02:53:695492,0
02:53:695492,0
02:55:110144,0
02:55:110144,0
02:55:110144,0
02:55:110144,0
02:55:110144,0
02:55:110144,0
02:55:110144,0
02:55:110144,0
02:55:110144,0
02:55:110144,0
04:21:070457,0
04:21:070457,0
04:21:070457,0
04:21:070457,0
04:21:070457,0
04:21:070457,0
04:21:070457,0
04:21:070457,0
04:21:070457,0
04:21:070457,0
04:22:354683,0
04:22:354683,0
04:22:354683,0
04:22:354683,0
04:22:354683,0
04:22:354683,0
04:22:354683,0
04:22:354683,0
04:22:354683,0
04:22:354683,0
04:23:592235,0
04:23:592235,0
04:23:592235,0
04:23:592235,0
04:23:592235,0
04:23:592235,1
04:23:592235,1
04:23:592235,1
04:23:592235,1
04:23:592235,1
04:24:788351,1
04:24:788351,1
04:24:788351,1
04:24:788351,1
04:24:788351,1
04:24:788351,0
04:24:788351,0
04:24:788351,0
04:24:788351,0
04:24:788351,0
04:26:060486,0
04:26:060486,0
04:26:060486,1
04:26:060486,1
04:26:060486,1
04:26:060486,1
04:26:060486,1
04:26:060486,1
04:26:060486,1
04:26:060486,0
04:27:263318,0
04:27:263318,0
04:27:263318,0
04:27:263318,0
04:27:263318,0
04:27:263318,0
04:27:263318,1
04:27:263318,1
04:27:263318,1
04:27:263318,1
04:28:574190,1
04:28:574190,1
04:28:574190,1
04:28:574190,1
04:28:574190,1
04:28:574190,1
04:28:574190,1
04:28:574190,1
04:28:574190,1
04:28:574190,0
04:29:923665,1
04:29:923665,0
04:29:923665,0
04:29:923665,0
04:29:923665,0
04:29:923665,0
04:29:923665,0
04:29:923665,0
04:29:923665,0
04:29:923665,1
04:31:423045,0
04:31:423045,0
04:31:423045,0
04:31:423045,0
04:31:423045,0
04:31:423045,0
04:31:423045,0
04:31:423045,0
04:31:423045,0
04:31:423045,0
04:32:621069,0
04:32:621069,0
04:32:621069,0
04:32:621069,0
04:32:621069,0
04:32:621069,0
04:32:621069,0
04:32:621069,0
04:32:621069,0
04:32:621069,0
04:33:968679,0
04:33:968679,0
04:33:968679,0
04:33:968679,0
04:33:968679,0
04:33:968679,0
04:33:968679,0
04:33:968679,0
04:33:968679,0
04:33:968679,0
04:35:211810,0
04:35:211810,0
04:35:211810,0
04:35:211810,0
04:35:211810,0
04:35:211810,0
04:35:211810,1
04:35:211810,1
04:35:211810,1
04:35:211810,1
05:44:884173,0
05:44:884173,0
05:44:884173,0
05:44:884173,0
05:44:884173,0
05:44:884173,0
05:44:884173,0
05:44:884173,0
05:44:884173,0
05:44:884173,0
05:46:062665,0
05:46:062665,0
05:46:062665,0
05:47:276882,0
05:47:276882,0
05:48:468341,0
05:48:468341,0
